recovery_url_id	initial_delta_id	registry_id	entity_name	candidate_class	scope_policy	raw_url	normalized_comparison_url	discovery_source_url	discovery_source_recovery_id	discovery_depth	initial_preclassification_hint	scope_disposition	redirect_chain	final_url	declared_canonical	terminal_state	captured_at	evidence_capture_method	http_or_tool_observation	residual_recovery_required	notes
M4B1R2U00001	M4B1D0001	REG011	Ilai	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	https://ilai.io/alternativa-servisam-analitiki-wildberries	https://ilai.io/alternativa-servisam-analitiki-wildberries	OPERA_NAVIGATION_ENUMERATION_2026-09-18		0	NEEDS_SCOPE_CLASSIFICATION	IN_SCOPE	NONE_OBSERVED	https://ilai.io/alternativa-servisam-analitiki-wildberries	NOT_OBSERVED_IN_CAPTURE	INSPECTED	2026-09-18T10:07:28.974Z	PUBLIC_WEB_EXACT_URL_OPEN	PUBLIC_PAGE_READABLE	false	Admitted by frozen entity scope policy and requires public-page terminalization.
M4B1R2U00002	M4B1D0002	REG011	Ilai	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	https://ilai.io/analitika-wildberries	https://ilai.io/analitika-wildberries	OPERA_NAVIGATION_ENUMERATION_2026-09-18		0	NEEDS_SCOPE_CLASSIFICATION	IN_SCOPE	NONE_OBSERVED	https://ilai.io/analitika-wildberries	NOT_OBSERVED_IN_CAPTURE	INSPECTED	2026-09-18T10:07:28.974Z	PUBLIC_WEB_EXACT_URL_OPEN	PUBLIC_PAGE_READABLE	true	Admitted by frozen entity scope policy and requires public-page terminalization.; PAGE_TERMINAL_BUT_CHILD_LINK_TREE_NOT_FULLY_ENUMERATED_DUE_EXECUTION_ENVIRONMENT
M4B1R2U00003	M4B1D0003	REG011	Ilai	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	https://ilai.io/politika	https://ilai.io/politika	OPERA_NAVIGATION_ENUMERATION_2026-09-18		0	NEEDS_SCOPE_CLASSIFICATION	OUT_OF_SCOPE	NONE_OBSERVED	https://ilai.io/politika	NOT_OBSERVED_IN_CAPTURE	OUT_OF_SCOPE		CLASSIFICATION_WITHOUT_PAGE_CAPTURE	OUT_OF_SCOPE	false	Same-entity URL falls outside the frozen marketplace/seller/product subtree.
M4B1R2U00004	M4B1D0004	REG011	Ilai	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	https://ilai.io/reklama-wildberries	https://ilai.io/reklama-wildberries	OPERA_NAVIGATION_ENUMERATION_2026-09-18		0	NEEDS_SCOPE_CLASSIFICATION	IN_SCOPE	NONE_OBSERVED	https://ilai.io/reklama-wildberries	NOT_OBSERVED_IN_CAPTURE	INSPECTED	2026-09-18T10:07:28.974Z	PUBLIC_WEB_EXACT_URL_OPEN	PUBLIC_PAGE_READABLE	true	Admitted by frozen entity scope policy and requires public-page terminalization.; PAGE_TERMINAL_BUT_CHILD_LINK_TREE_NOT_FULLY_ENUMERATED_DUE_EXECUTION_ENVIRONMENT
M4B1R2U00005	M4B1D0005	REG011	Ilai	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	https://ilai.io/requisite	https://ilai.io/requisite	OPERA_NAVIGATION_ENUMERATION_2026-09-18		0	LEGAL_OR_CORPORATE_CANDIDATE	OUT_OF_SCOPE	NONE_OBSERVED	https://ilai.io/requisite	NOT_OBSERVED_IN_CAPTURE	OUT_OF_SCOPE		CLASSIFICATION_WITHOUT_PAGE_CAPTURE	OUT_OF_SCOPE	false	Legal/contact/corporate surface outside frozen competitor product-evidence scope.
M4B1R2U00006	M4B1D0006	REG011	Ilai	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	https://ilai.io/seo-wildberries	https://ilai.io/seo-wildberries	OPERA_NAVIGATION_ENUMERATION_2026-09-18		0	NEEDS_SCOPE_CLASSIFICATION	IN_SCOPE	NONE_OBSERVED	https://ilai.io/seo-wildberries	NOT_OBSERVED_IN_CAPTURE	INSPECTED	2026-09-18T10:07:28.974Z	PUBLIC_WEB_EXACT_URL_OPEN	PUBLIC_PAGE_READABLE	false	Admitted by frozen entity scope policy and requires public-page terminalization.
M4B1R2U00007	M4B1D0007	REG011	Ilai	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	https://ilai.io/servisy-analitiki-wildberries	https://ilai.io/servisy-analitiki-wildberries	OPERA_NAVIGATION_ENUMERATION_2026-09-18		0	NEEDS_SCOPE_CLASSIFICATION	IN_SCOPE	NONE_OBSERVED	https://ilai.io/servisy-analitiki-wildberries	NOT_OBSERVED_IN_CAPTURE	INSPECTED	2026-09-18T10:07:28.974Z	PUBLIC_WEB_EXACT_URL_OPEN	PUBLIC_PAGE_READABLE	true	Admitted by frozen entity scope policy and requires public-page terminalization.; PAGE_TERMINAL_BUT_CHILD_LINK_TREE_NOT_FULLY_ENUMERATED_DUE_EXECUTION_ENVIRONMENT
M4B1R2U00008	M4B1D0008	REG011	Ilai	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	https://ilai.io/user-agreement	https://ilai.io/user-agreement	OPERA_NAVIGATION_ENUMERATION_2026-09-18		0	NEEDS_SCOPE_CLASSIFICATION	OUT_OF_SCOPE	NONE_OBSERVED	https://ilai.io/user-agreement	NOT_OBSERVED_IN_CAPTURE	OUT_OF_SCOPE		CLASSIFICATION_WITHOUT_PAGE_CAPTURE	OUT_OF_SCOPE	false	Same-entity URL falls outside the frozen marketplace/seller/product subtree.
M4B1R2U00009	M4B1D0009	REG011	Ilai	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	https://ilai.io/user-oferta	https://ilai.io/user-oferta	OPERA_NAVIGATION_ENUMERATION_2026-09-18		0	NEEDS_SCOPE_CLASSIFICATION	OUT_OF_SCOPE	NONE_OBSERVED	https://ilai.io/user-oferta	NOT_OBSERVED_IN_CAPTURE	OUT_OF_SCOPE		CLASSIFICATION_WITHOUT_PAGE_CAPTURE	OUT_OF_SCOPE	false	Same-entity URL falls outside the frozen marketplace/seller/product subtree.
M4B1R2U00010	M4B1D0010	REG011	Ilai	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	https://seller.ilai.io/	https://seller.ilai.io	OPERA_NAVIGATION_ENUMERATION_2026-09-18		0	AUTH_OR_PRIVATE_CANDIDATE	AUTH_REQUIRED	NONE_OBSERVED	https://seller.ilai.io/	NOT_OBSERVED_IN_CAPTURE	AUTH_REQUIRED		CLASSIFICATION_WITHOUT_PAGE_CAPTURE	AUTH_REQUIRED	false	Authentication/registration/private application surface; not public product evidence.
