url_id	registry_id	entity_name	original_url	work_terminal_state	post_recovery_state	observed_final_url	recovery_source	needs_structured_page_evidence	evidence_note
M4B1U0027	REG022	Marpla	https://marpla.ru/	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://marpla.ru/	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0035	REG024	Moysklad	https://www.moysklad.ru/poleznoe/marketplejsy/samye-prodavaemye-tovary-na-wildberries/	DYNAMIC_UNRESOLVED	INSPECTED	https://www.moysklad.ru/poleznoe/marketplejsy/samye-prodavaemye-tovary-na-wildberries/	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0043	REG028	Mpstats	https://mpstats.io/	ROBOTS_OR_SITE_POLICY_BLOCKED	INSPECTED	https://mpstats.io/	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0046	REG028	Mpstats	https://mpstats.io/instruments/analytics	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://mpstats.io/instruments/analytics	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0047	REG028	Mpstats	https://mpstats.io/instruments/connect-ai	ROBOTS_OR_SITE_POLICY_BLOCKED	INSPECTED	https://mpstats.io/instruments/connect-ai	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0064	REG038	Sellermoon	https://sellermoon.ru/faq/wildberries/kak-sozdat-kartochku-tovara-na-wb	DYNAMIC_UNRESOLVED	INSPECTED	https://sellermoon.ru/faq/wildberries/kak-sozdat-kartochku-tovara-na-wb	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0066	REG038	Sellermoon	https://sellermoon.ru/faq/wildberries/nejroset-chatgpt-i-marketplejsy	DYNAMIC_UNRESOLVED	INSPECTED	https://sellermoon.ru/faq/wildberries/nejroset-chatgpt-i-marketplejsy	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0067	REG038	Sellermoon	https://sellermoon.ru/faq/wildberries/obzor-lichnogo-kabineta-wildberries	DYNAMIC_UNRESOLVED	INSPECTED	https://sellermoon.ru/faq/wildberries/obzor-lichnogo-kabineta-wildberries	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0069	REG038	Sellermoon	https://sellermoon.ru/faq/wildberries/populyarnye-zaprosy-wb	DYNAMIC_UNRESOLVED	INSPECTED	https://sellermoon.ru/faq/wildberries/populyarnye-zaprosy-wb	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0083	REG045	Superintellect	https://superintellect.ru/guides/ozon-ii-agent-dlya-prodavca	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://superintellect.ru/guides/ozon-ii-agent-dlya-prodavca	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0084	REG045	Superintellect	https://superintellect.ru/guides/wildberries-ii-agent-dlya-prodavca	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://superintellect.ru/guides/wildberries-ii-agent-dlya-prodavca	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0112	REG001	Ai007	https://www.ai007.io/guides/quickstart.html	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://www.ai007.io/guides/quickstart.html	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0142	REG006	Apimonster	https://apimonster.ru/connector/trigger/wildberries/action/order-get-sticker/	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://apimonster.ru/connector/trigger/wildberries/action/order-get-sticker/	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0154	REG009	Berkuz	https://berkuz.ru/tarifs/	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://berkuz.ru/tarifs/	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0156	REG009	Berkuz	https://berkuz.ru/blog/	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://berkuz.ru/blog/	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0157	REG009	Berkuz	https://lk.berkuz.ru/	EXECUTION_ENVIRONMENT_FAILURE	AUTH_REQUIRED	https://lk.berkuz.ru/login	Opera Browser Connector 2026-09-18	false	Opera rendered Berkuz login page; public content requires authentication.
